#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
5.911e-01	2.098e-06	-2.055e+02	1.585e+01	5.524e-01	1.435e+01
5.892e-01	2.104e-06	-2.069e+02	1.600e+01	5.559e-01	1.439e+01
5.854e-01	2.118e-06	-2.097e+02	1.632e+01	5.630e-01	1.449e+01
5.835e-01	2.125e-06	-2.111e+02	1.648e+01	5.666e-01	1.454e+01
5.796e-01	2.139e-06	-2.140e+02	1.681e+01	5.739e-01	1.464e+01
5.777e-01	2.146e-06	-2.155e+02	1.697e+01	5.776e-01	1.469e+01
5.758e-01	2.153e-06	-2.170e+02	1.714e+01	5.814e-01	1.474e+01
5.720e-01	2.168e-06	-2.200e+02	1.748e+01	5.890e-01	1.484e+01
5.701e-01	2.175e-06	-2.215e+02	1.766e+01	5.929e-01	1.489e+01
5.662e-01	2.190e-06	-2.246e+02	1.802e+01	6.007e-01	1.500e+01
5.643e-01	2.197e-06	-2.261e+02	1.820e+01	6.047e-01	1.505e+01
5.624e-01	2.205e-06	-2.277e+02	1.839e+01	6.087e-01	1.510e+01
5.586e-01	2.220e-06	-2.309e+02	1.876e+01	6.168e-01	1.521e+01
5.567e-01	2.227e-06	-2.326e+02	1.896e+01	6.210e-01	1.526e+01
5.548e-01	2.235e-06	-2.342e+02	1.915e+01	6.252e-01	1.532e+01
5.529e-01	2.243e-06	-2.359e+02	1.935e+01	6.294e-01	1.537e+01
5.490e-01	2.258e-06	-2.393e+02	1.975e+01	6.380e-01	1.548e+01
5.471e-01	2.266e-06	-2.410e+02	1.996e+01	6.423e-01	1.554e+01
5.452e-01	2.274e-06	-2.427e+02	2.017e+01	6.468e-01	1.559e+01
5.433e-01	2.282e-06	-2.445e+02	2.038e+01	6.512e-01	1.565e+01
5.395e-01	2.298e-06	-2.481e+02	2.082e+01	6.603e-01	1.576e+01
5.375e-01	2.307e-06	-2.499e+02	2.104e+01	6.649e-01	1.582e+01
5.356e-01	2.315e-06	-2.517e+02	2.126e+01	6.695e-01	1.588e+01
5.337e-01	2.323e-06	-2.535e+02	2.149e+01	6.742e-01	1.594e+01
5.299e-01	2.340e-06	-2.573e+02	2.195e+01	6.837e-01	1.606e+01
5.280e-01	2.348e-06	-2.592e+02	2.219e+01	6.886e-01	1.611e+01
5.261e-01	2.357e-06	-2.611e+02	2.243e+01	6.935e-01	1.617e+01
5.242e-01	2.365e-06	-2.631e+02	2.268e+01	6.984e-01	1.624e+01
5.223e-01	2.374e-06	-2.651e+02	2.293e+01	7.034e-01	1.630e+01
5.203e-01	2.383e-06	-2.671e+02	2.318e+01	7.085e-01	1.636e+01
5.184e-01	2.392e-06	-2.691e+02	2.343e+01	7.136e-01	1.642e+01
5.146e-01	2.409e-06	-2.732e+02	2.396e+01	7.240e-01	1.654e+01
5.127e-01	2.418e-06	-2.753e+02	2.422e+01	7.293e-01	1.661e+01
5.108e-01	2.427e-06	-2.774e+02	2.449e+01	7.347e-01	1.667e+01
5.089e-01	2.437e-06	-2.795e+02	2.477e+01	7.401e-01	1.673e+01
5.069e-01	2.446e-06	-2.817e+02	2.505e+01	7.455e-01	1.680e+01
5.050e-01	2.455e-06	-2.838e+02	2.533e+01	7.511e-01	1.686e+01
5.031e-01	2.464e-06	-2.860e+02	2.562e+01	7.566e-01	1.693e+01
5.012e-01	2.474e-06	-2.883e+02	2.591e+01	7.623e-01	1.700e+01
4.993e-01	2.483e-06	-2.905e+02	2.621e+01	7.680e-01	1.706e+01
4.974e-01	2.493e-06	-2.928e+02	2.651e+01	7.738e-01	1.713e+01
4.955e-01	2.502e-06	-2.951e+02	2.681e+01	7.797e-01	1.720e+01
4.935e-01	2.512e-06	-2.974e+02	2.713e+01	7.856e-01	1.726e+01
4.916e-01	2.522e-06	-2.998e+02	2.744e+01	7.916e-01	1.733e+01
4.897e-01	2.532e-06	-3.022e+02	2.776e+01	7.976e-01	1.740e+01
4.878e-01	2.542e-06	-3.046e+02	2.809e+01	8.037e-01	1.747e+01
4.859e-01	2.552e-06	-3.070e+02	2.842e+01	8.099e-01	1.754e+01
4.840e-01	2.562e-06	-3.095e+02	2.875e+01	8.162e-01	1.761e+01
4.821e-01	2.572e-06	-3.120e+02	2.909e+01	8.226e-01	1.768e+01
4.802e-01	2.582e-06	-3.145e+02	2.944e+01	8.290e-01	1.775e+01
4.782e-01	2.593e-06	-3.171e+02	2.979e+01	8.355e-01	1.783e+01
4.763e-01	2.603e-06	-3.197e+02	3.015e+01	8.421e-01	1.790e+01
4.744e-01	2.613e-06	-3.223e+02	3.051e+01	8.487e-01	1.797e+01
4.725e-01	2.624e-06	-3.250e+02	3.088e+01	8.554e-01	1.805e+01
4.706e-01	2.635e-06	-3.277e+02	3.125e+01	8.623e-01	1.812e+01
4.687e-01	2.645e-06	-3.304e+02	3.163e+01	8.692e-01	1.820e+01
4.668e-01	2.656e-06	-3.331e+02	3.202e+01	8.761e-01	1.827e+01
4.649e-01	2.667e-06	-3.359e+02	3.241e+01	8.832e-01	1.835e+01
4.629e-01	2.678e-06	-3.387e+02	3.281e+01	8.904e-01	1.843e+01
4.610e-01	2.689e-06	-3.416e+02	3.322e+01	8.976e-01	1.850e+01
4.591e-01	2.701e-06	-3.445e+02	3.363e+01	9.049e-01	1.858e+01
4.572e-01	2.712e-06	-3.474e+02	3.405e+01	9.123e-01	1.866e+01
4.553e-01	2.723e-06	-3.503e+02	3.448e+01	9.199e-01	1.874e+01
4.534e-01	2.735e-06	-3.533e+02	3.491e+01	9.275e-01	1.882e+01
4.515e-01	2.746e-06	-3.564e+02	3.535e+01	9.352e-01	1.890e+01
4.496e-01	2.758e-06	-3.594e+02	3.580e+01	9.430e-01	1.898e+01
4.476e-01	2.770e-06	-3.626e+02	3.626e+01	9.509e-01	1.906e+01
4.457e-01	2.782e-06	-3.657e+02	3.672e+01	9.589e-01	1.915e+01
4.438e-01	2.794e-06	-3.689e+02	3.719e+01	9.670e-01	1.923e+01
4.419e-01	2.806e-06	-3.721e+02	3.767e+01	9.752e-01	1.932e+01
4.400e-01	2.818e-06	-3.754e+02	3.816e+01	9.835e-01	1.940e+01
4.381e-01	2.830e-06	-3.787e+02	3.866e+01	9.919e-01	1.949e+01
4.362e-01	2.843e-06	-3.821e+02	3.916e+01	1.000e+00	1.957e+01
4.343e-01	2.855e-06	-3.855e+02	3.968e+01	1.009e+00	1.966e+01
4.323e-01	2.868e-06	-3.889e+02	4.020e+01	1.018e+00	1.975e+01
4.304e-01	2.881e-06	-3.924e+02	4.073e+01	1.027e+00	1.984e+01
4.285e-01	2.893e-06	-3.959e+02	4.127e+01	1.036e+00	1.993e+01
4.266e-01	2.906e-06	-3.995e+02	4.182e+01	1.045e+00	2.002e+01
4.247e-01	2.919e-06	-4.032e+02	4.239e+01	1.054e+00	2.011e+01
4.228e-01	2.933e-06	-4.068e+02	4.296e+01	1.063e+00	2.020e+01
4.209e-01	2.946e-06	-4.106e+02	4.354e+01	1.073e+00	2.029e+01
4.189e-01	2.959e-06	-4.144e+02	4.413e+01	1.082e+00	2.038e+01
4.170e-01	2.973e-06	-4.182e+02	4.473e+01	1.092e+00	2.048e+01
