#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
7.251e-01	1.710e-06	-1.457e+02	1.033e+01	4.276e-01	1.208e+01
7.208e-01	1.720e-06	-1.474e+02	1.049e+01	4.317e-01	1.215e+01
7.167e-01	1.730e-06	-1.491e+02	1.065e+01	4.359e-01	1.222e+01
7.126e-01	1.740e-06	-1.508e+02	1.082e+01	4.402e-01	1.229e+01
7.085e-01	1.750e-06	-1.526e+02	1.099e+01	4.444e-01	1.236e+01
7.045e-01	1.760e-06	-1.543e+02	1.116e+01	4.487e-01	1.243e+01
7.005e-01	1.770e-06	-1.560e+02	1.133e+01	4.531e-01	1.250e+01
6.965e-01	1.780e-06	-1.578e+02	1.150e+01	4.574e-01	1.257e+01
6.926e-01	1.790e-06	-1.596e+02	1.168e+01	4.618e-01	1.264e+01
6.888e-01	1.800e-06	-1.613e+02	1.185e+01	4.663e-01	1.271e+01
6.850e-01	1.810e-06	-1.631e+02	1.203e+01	4.708e-01	1.278e+01
6.812e-01	1.820e-06	-1.649e+02	1.221e+01	4.752e-01	1.285e+01
6.775e-01	1.830e-06	-1.667e+02	1.240e+01	4.798e-01	1.292e+01
6.738e-01	1.840e-06	-1.685e+02	1.258e+01	4.844e-01	1.299e+01
6.702e-01	1.850e-06	-1.703e+02	1.277e+01	4.890e-01	1.306e+01
6.666e-01	1.860e-06	-1.721e+02	1.296e+01	4.936e-01	1.313e+01
6.630e-01	1.870e-06	-1.739e+02	1.315e+01	4.983e-01	1.320e+01
6.595e-01	1.880e-06	-1.758e+02	1.335e+01	5.030e-01	1.327e+01
6.560e-01	1.890e-06	-1.776e+02	1.355e+01	5.078e-01	1.334e+01
6.525e-01	1.900e-06	-1.795e+02	1.375e+01	5.126e-01	1.341e+01
6.491e-01	1.910e-06	-1.814e+02	1.395e+01	5.175e-01	1.348e+01
6.457e-01	1.920e-06	-1.832e+02	1.415e+01	5.223e-01	1.355e+01
6.424e-01	1.930e-06	-1.851e+02	1.436e+01	5.273e-01	1.362e+01
6.391e-01	1.940e-06	-1.870e+02	1.457e+01	5.322e-01	1.369e+01
6.358e-01	1.950e-06	-1.889e+02	1.478e+01	5.373e-01	1.375e+01
6.326e-01	1.960e-06	-1.908e+02	1.500e+01	5.424e-01	1.382e+01
6.294e-01	1.970e-06	-1.927e+02	1.521e+01	5.474e-01	1.389e+01
6.262e-01	1.980e-06	-1.947e+02	1.543e+01	5.526e-01	1.396e+01
6.230e-01	1.990e-06	-1.966e+02	1.565e+01	5.578e-01	1.403e+01
6.199e-01	2.000e-06	-1.983e+02	1.585e+01	5.622e-01	1.409e+01
6.179e-01	2.007e-06	-1.999e+02	1.604e+01	5.667e-01	1.415e+01
6.141e-01	2.019e-06	-2.024e+02	1.633e+01	5.736e-01	1.424e+01
6.121e-01	2.025e-06	-2.037e+02	1.649e+01	5.771e-01	1.428e+01
6.083e-01	2.038e-06	-2.063e+02	1.680e+01	5.842e-01	1.438e+01
6.064e-01	2.045e-06	-2.077e+02	1.696e+01	5.878e-01	1.442e+01
6.026e-01	2.058e-06	-2.103e+02	1.728e+01	5.952e-01	1.452e+01
6.007e-01	2.064e-06	-2.117e+02	1.744e+01	5.989e-01	1.456e+01
5.969e-01	2.077e-06	-2.145e+02	1.778e+01	6.064e-01	1.466e+01
5.949e-01	2.084e-06	-2.159e+02	1.795e+01	6.102e-01	1.471e+01
5.911e-01	2.098e-06	-2.187e+02	1.829e+01	6.180e-01	1.480e+01
5.892e-01	2.104e-06	-2.202e+02	1.847e+01	6.219e-01	1.485e+01
5.854e-01	2.118e-06	-2.231e+02	1.883e+01	6.299e-01	1.495e+01
5.835e-01	2.125e-06	-2.246e+02	1.902e+01	6.339e-01	1.500e+01
5.796e-01	2.139e-06	-2.276e+02	1.939e+01	6.421e-01	1.510e+01
5.777e-01	2.146e-06	-2.291e+02	1.958e+01	6.463e-01	1.515e+01
5.758e-01	2.153e-06	-2.307e+02	1.978e+01	6.505e-01	1.520e+01
5.720e-01	2.168e-06	-2.338e+02	2.017e+01	6.591e-01	1.531e+01
5.701e-01	2.175e-06	-2.354e+02	2.038e+01	6.634e-01	1.536e+01
5.662e-01	2.190e-06	-2.387e+02	2.079e+01	6.722e-01	1.546e+01
5.643e-01	2.197e-06	-2.403e+02	2.100e+01	6.767e-01	1.552e+01
5.624e-01	2.205e-06	-2.420e+02	2.121e+01	6.812e-01	1.557e+01
5.586e-01	2.220e-06	-2.453e+02	2.165e+01	6.903e-01	1.568e+01
